age,job,marital,education,default,housing,loan,campaign,contact,month,day_of_week,duration,previous,outcome,btc.spotprice,btc.futures.index,target_variable
56,housemaid,married,basic.4y,no,no,no,1,telephone,may,mon,261,0,nonexistent,93.994,-36.4,no
57,services,married,high.school,unknown,no,no,1,telephone,may,mon,149,0,nonexistent,93.994,-36.4,no
37,services,married,high.school,no,yes,no,1,telephone,may,mon,226,0,nonexistent,93.994,-36.4,no
40,admin.,married,basic.6y,no,no,no,1,telephone,may,mon,151,0,nonexistent,93.994,-36.4,no
56,services,married,high.school,no,no,yes,1,telephone,may,mon,307,0,nonexistent,93.994,-36.4,no
45,services,married,basic.9y,unknown,no,no,1,telephone,may,mon,198,0,nonexistent,93.994,-36.4,no
59,admin.,married,professional.course,no,no,no,1,telephone,may,mon,139,0,nonexistent,93.994,-36.4,no
41,blue-collar,married,unknown,unknown,no,no,1,telephone,may,mon,217,0,nonexistent,93.994,-36.4,no
24,technician,single,professional.course,no,yes,no,1,telephone,may,mon,380,0,nonexistent,93.994,-36.4,no
25,services,single,high.school,no,yes,no,1,telephone,may,mon,50,0,nonexistent,93.994,-36.4,no
41,blue-collar,married,unknown,unknown,no,no,1,telephone,may,mon,55,0,nonexistent,93.994,-36.4,no
25,services,single,high.school,no,yes,no,1,telephone,may,mon,222,0,nonexistent,93.994,-36.4,no
29,blue-collar,single,high.school,no,no,yes,1,telephone,may,mon,137,0,nonexistent,93.994,-36.4,no
57,housemaid,divorced,basic.4y,no,yes,no,1,telephone,may,mon,293,0,nonexistent,93.994,-36.4,no
35,blue-collar,married,basic.6y,no,yes,no,1,telephone,may,mon,146,0,nonexistent,93.994,-36.4,no
54,retired,married,basic.9y,unknown,yes,yes,1,telephone,may,mon,174,0,nonexistent,93.994,-36.4,no
35,blue-collar,married,basic.6y,no,yes,no,1,telephone,may,mon,312,0,nonexistent,93.994,-36.4,no
46,blue-collar,married,basic.6y,unknown,yes,yes,1,telephone,may,mon,440,0,nonexistent,93.994,-36.4,no
50,blue-collar,married,basic.9y,no,yes,yes,1,telephone,may,mon,353,0,nonexistent,93.994,-36.4,no
39,management,single,basic.9y,unknown,no,no,1,telephone,may,mon,195,0,nonexistent,93.994,-36.4,no
30,unemployed,married,high.school,no,no,no,1,telephone,may,mon,38,0,nonexistent,93.994,-36.4,no
55,blue-collar,married,basic.4y,unknown,yes,no,1,telephone,may,mon,262,0,nonexistent,93.994,-36.4,no
55,retired,single,high.school,no,yes,no,1,telephone,may,mon,342,0,nonexistent,93.994,-36.4,no
41,technician,single,high.school,no,yes,no,1,telephone,may,mon,181,0,nonexistent,93.994,-36.4,no
37,admin.,married,high.school,no,yes,no,1,telephone,may,mon,172,0,nonexistent,93.994,-36.4,no
35,technician,married,university.degree,no,no,yes,1,telephone,may,mon,99,0,nonexistent,93.994,-36.4,no
59,technician,married,unknown,no,yes,no,1,telephone,may,mon,93,0,nonexistent,93.994,-36.4,no
39,self-employed,married,basic.9y,unknown,no,no,1,telephone,may,mon,233,0,nonexistent,93.994,-36.4,no
54,technician,single,university.degree,unknown,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
55,unknown,married,university.degree,unknown,unknown,unknown,1,telephone,may,mon,362,0,nonexistent,93.994,-36.4,no
46,admin.,married,unknown,no,no,no,1,telephone,may,mon,348,0,nonexistent,93.994,-36.4,no
59,technician,married,unknown,no,yes,no,1,telephone,may,mon,386,0,nonexistent,93.994,-36.4,no
49,blue-collar,married,unknown,no,no,no,1,telephone,may,mon,73,0,nonexistent,93.994,-36.4,no
54,management,married,basic.4y,unknown,yes,no,1,telephone,may,mon,230,0,nonexistent,93.994,-36.4,no
54,blue-collar,divorced,basic.4y,no,no,no,1,telephone,may,mon,208,0,nonexistent,93.994,-36.4,no
55,unknown,married,basic.4y,unknown,yes,no,1,telephone,may,mon,336,0,nonexistent,93.994,-36.4,no
34,services,married,high.school,no,no,no,1,telephone,may,mon,365,0,nonexistent,93.994,-36.4,no
52,technician,married,basic.9y,no,yes,no,1,telephone,may,mon,1666,0,nonexistent,93.994,-36.4,no
41,admin.,married,university.degree,no,yes,no,1,telephone,may,mon,577,0,nonexistent,93.994,-36.4,no
56,technician,married,basic.4y,no,yes,no,1,telephone,may,mon,137,0,nonexistent,93.994,-36.4,no
58,management,unknown,university.degree,no,yes,no,1,telephone,may,mon,366,0,nonexistent,93.994,-36.4,no
32,entrepreneur,married,high.school,no,yes,no,1,telephone,may,mon,314,0,nonexistent,93.994,-36.4,no
38,admin.,single,professional.course,no,no,no,1,telephone,may,mon,160,0,nonexistent,93.994,-36.4,no
57,admin.,married,university.degree,no,no,yes,1,telephone,may,mon,212,0,nonexistent,93.994,-36.4,no
44,admin.,married,university.degree,unknown,yes,no,1,telephone,may,mon,188,0,nonexistent,93.994,-36.4,no
42,technician,single,professional.course,unknown,no,no,1,telephone,may,mon,22,0,nonexistent,93.994,-36.4,no
57,admin.,married,university.degree,no,yes,yes,1,telephone,may,mon,616,0,nonexistent,93.994,-36.4,no
40,blue-collar,married,basic.9y,no,no,yes,1,telephone,may,mon,178,0,nonexistent,93.994,-36.4,no
35,admin.,married,university.degree,no,yes,no,1,telephone,may,mon,355,0,nonexistent,93.994,-36.4,no
45,blue-collar,married,basic.9y,no,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
54,admin.,married,high.school,no,no,no,1,telephone,may,mon,160,0,nonexistent,93.994,-36.4,no
39,housemaid,married,basic.4y,no,no,yes,1,telephone,may,mon,266,0,nonexistent,93.994,-36.4,no
60,admin.,married,high.school,no,no,no,1,telephone,may,mon,253,0,nonexistent,93.994,-36.4,no
53,admin.,single,professional.course,no,no,no,1,telephone,may,mon,179,0,nonexistent,93.994,-36.4,no
55,blue-collar,married,basic.4y,unknown,no,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
55,technician,married,professional.course,unknown,yes,no,1,telephone,may,mon,135,0,nonexistent,93.994,-36.4,no
50,management,married,university.degree,unknown,no,yes,1,telephone,may,mon,161,0,nonexistent,93.994,-36.4,no
45,services,married,high.school,unknown,yes,no,1,telephone,may,mon,787,0,nonexistent,93.994,-36.4,no
55,unemployed,married,professional.course,unknown,yes,yes,1,telephone,may,mon,145,0,nonexistent,93.994,-36.4,no
25,technician,single,university.degree,no,yes,no,1,telephone,may,mon,174,0,nonexistent,93.994,-36.4,no
47,entrepreneur,married,university.degree,unknown,no,no,1,telephone,may,mon,449,0,nonexistent,93.994,-36.4,no
51,blue-collar,married,basic.9y,no,yes,no,1,telephone,may,mon,812,0,nonexistent,93.994,-36.4,no
42,blue-collar,married,basic.6y,unknown,yes,no,1,telephone,may,mon,164,0,nonexistent,93.994,-36.4,no
42,blue-collar,married,basic.6y,unknown,no,no,1,telephone,may,mon,366,0,nonexistent,93.994,-36.4,no
48,admin.,married,high.school,no,no,no,1,telephone,may,mon,357,0,nonexistent,93.994,-36.4,no
37,admin.,married,university.degree,no,no,no,1,telephone,may,mon,232,0,nonexistent,93.994,-36.4,no
44,blue-collar,single,basic.9y,no,yes,no,1,telephone,may,mon,91,0,nonexistent,93.994,-36.4,no
33,admin.,married,unknown,no,yes,no,1,telephone,may,mon,273,0,nonexistent,93.994,-36.4,no
56,admin.,married,basic.9y,no,yes,no,0,NA,NA,NA,0,0,nonexistent,93.994,-36.4,no
44,blue-collar,single,basic.4y,unknown,yes,yes,1,telephone,may,mon,177,0,nonexistent,93.994,-36.4,no
41,management,married,basic.6y,no,no,no,1,telephone,may,mon,200,0,nonexistent,93.994,-36.4,no
44,management,divorced,university.degree,no,yes,no,1,telephone,may,mon,172,0,nonexistent,93.994,-36.4,no
47,admin.,married,university.degree,unknown,yes,no,1,telephone,may,mon,176,0,nonexistent,93.994,-36.4,no
57,unknown,married,unknown,unknown,no,no,1,telephone,may,mon,211,0,nonexistent,93.994,-36.4,no
37,admin.,married,university.degree,unknown,yes,no,1,telephone,may,mon,214,0,nonexistent,93.994,-36.4,no
41,blue-collar,divorced,basic.4y,unknown,yes,no,1,telephone,may,mon,1575,0,nonexistent,93.994,-36.4,yes
55,technician,married,university.degree,no,no,no,1,telephone,may,mon,349,0,nonexistent,93.994,-36.4,no
